frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
142,7,785.8267299107143 366.43677193777904 1017.0801042829241 544.6050851004464,0,870.7952793666294 486.12083217075894 924.3111485072544 502.45762416294644,0,0,0
143,7,784.9317278180804 368.1156441824777 1018.202898297991 544.4064418247768,0,871.1456647600446 487.5615931919643 925.2223249162946 504.8029261997768,0,0,0
144,7,784.0367257254464 369.79451642717635 1019.3256923130581 544.2077985491071,0,871.4960501534598 489.00235421316967 926.1335013253348 507.14822823660717,0,0,0
145,7,783.1417236328125 371.473388671875 1020.448486328125 544.0091552734375,car,871.846435546875 490.443115234375 927.044677734375 509.4935302734375,0.7653378248214722,VEY6INBG,0.4177978445014448
146,7,784.5492553710938 372.79107666015625 1021.0540161132812 543.59130859375,car,871.5015258789062 493.512451171875 928.9341430664062 510.2255859375,0.5375897288322449,1EYEIMEG,0.2840526290037937
147,7,784.874267578125 374.8172912597656 1022.4703369140625 543.7149658203125,car,871.612548828125 497.0289306640625 926.603271484375 512.863037109375,0.35149452090263367,ET61TET,0.16660981286306717
241,15,768.4036254882812 215.1202850341797 1020.879638671875 520.8883056640625,car,856.1456298828125 451.90997314453125 918.0384521484375 469.83502197265625,0.27212005853652954,8G6SUSJ,0.3714740286119597
242,15,768.5579223632812 215.99169158935547 1021.56689453125 523.1890563964844,0,857.7627563476562 453.6355285644531 917.6115112304688 472.4402160644531,0,0,0
243,15,768.7122192382812 216.86309814453125 1022.254150390625 525.4898071289062,car,859.3798828125 455.361083984375 917.1845703125 475.04541015625,0.741203248500824,#EGESUBJ,0.13140855776296004
244,15,769.1519165039062 217.78790283203125 1022.68505859375 528.57763671875,car,861.9910888671875 458.12860107421875 918.1339111328125 477.75079345703125,0.5462634563446045,OG64VBJ,0.03078195672039791
245,15,769.1607666015625 218.1602325439453 1023.423095703125 529.7105102539062,car,860.608642578125 458.6251220703125 916.96923828125 478.8214111328125,0.5073109865188599,'BGESUBJ,0.20123225986548332
246,15,770.0847778320312 219.49429321289062 1024.2825927734375 531.5997314453125,car,862.81640625 460.9183044433594 917.644287109375 480.6108703613281,0.5959699153900146,BGESWEJ,0.2912092469764771
247,15,770.1943969726562 220.45254516601562 1025.0225830078125 534.0607299804688,car,863.5968017578125 463.7298583984375 918.6802978515625 481.93572998046875,0.47208869457244873,JEG6SVS_,0.05230964344133409
248,15,770.5867919921875 221.54360961914062 1025.8087768554688 535.6947021484375,0,862.9419250488281 465.2747344970703 918.9482116699219 485.0469512939453,0,0,0
